instance_id,method,hidden,success,expansions,runtime_sec,path_cost
1,classic,0,1,838,0.0044422149658203125,62.0
1,learned_h32,32,1,64,0.018941879272460938,62.0
1,learned_h64,64,1,69,0.01343083381652832,68.0
1,learned_h128,128,1,69,0.01630568504333496,62.0
2,classic,0,1,746,0.0027627944946289062,62.0
2,learned_h32,32,1,76,0.015543460845947266,70.0
2,learned_h64,64,1,78,0.014142990112304688,70.0
2,learned_h128,128,1,64,0.014016151428222656,62.0
3,classic,0,1,849,0.0034198760986328125,62.0
3,learned_h32,32,1,65,0.013816118240356445,62.0
3,learned_h64,64,1,63,0.018105030059814453,62.0
3,learned_h128,128,1,63,0.01514291763305664,62.0
4,classic,0,1,759,0.002915620803833008,62.0
4,learned_h32,32,1,65,0.013268709182739258,64.0
4,learned_h64,64,1,74,0.016148090362548828,64.0
4,learned_h128,128,1,67,0.014981746673583984,62.0
5,classic,0,1,677,0.0027189254760742188,62.0
5,learned_h32,32,1,63,0.013277769088745117,62.0
5,learned_h64,64,1,74,0.016248464584350586,66.0
5,learned_h128,128,1,63,0.013554573059082031,62.0
6,classic,0,1,764,0.003905773162841797,62.0
6,learned_h32,32,1,64,0.019452810287475586,62.0
6,learned_h64,64,1,73,0.037354469299316406,70.0
6,learned_h128,128,1,66,0.03303027153015137,64.0
7,classic,0,1,893,0.007318258285522461,62.0
7,learned_h32,32,1,70,0.036869049072265625,64.0
7,learned_h64,64,1,71,0.0198819637298584,66.0
7,learned_h128,128,1,69,0.030008316040039062,64.0
8,classic,0,1,805,0.0054340362548828125,62.0
8,learned_h32,32,1,63,0.029873371124267578,62.0
8,learned_h64,64,1,77,0.02723097801208496,68.0
8,learned_h128,128,1,63,0.0262148380279541,62.0
9,classic,0,1,746,0.0034151077270507812,62.0
9,learned_h32,32,1,63,0.02462625503540039,62.0
9,learned_h64,64,1,76,0.02881622314453125,70.0
9,learned_h128,128,1,66,0.042069196701049805,62.0
10,classic,0,1,770,0.0038084983825683594,62.0
10,learned_h32,32,1,64,0.018160343170166016,62.0
10,learned_h64,64,1,67,0.016701459884643555,66.0
10,learned_h128,128,1,66,0.01886916160583496,62.0
11,classic,0,0,1,1.0728836059570312e-05,inf
11,learned_h32,32,0,1,0.00016689300537109375,inf
11,learned_h64,64,0,1,0.0001373291015625,inf
11,learned_h128,128,0,1,0.00012540817260742188,inf
12,classic,0,1,786,0.004381895065307617,62.0
12,learned_h32,32,1,65,0.018042564392089844,64.0
12,learned_h64,64,1,78,0.02368450164794922,74.0
12,learned_h128,128,1,67,0.02216196060180664,64.0
13,classic,0,1,884,0.0036106109619140625,62.0
13,learned_h32,32,1,63,0.018046855926513672,62.0
13,learned_h64,64,1,71,0.016190528869628906,68.0
13,learned_h128,128,1,63,0.016283512115478516,62.0
14,classic,0,1,746,0.003010272979736328,62.0
14,learned_h32,32,1,64,0.022479534149169922,62.0
14,learned_h64,64,1,65,0.027967453002929688,64.0
14,learned_h128,128,1,64,0.02195429801940918,62.0
15,classic,0,1,740,0.0051937103271484375,62.0
15,learned_h32,32,1,63,0.02389359474182129,62.0
15,learned_h64,64,1,64,0.028229236602783203,62.0
15,learned_h128,128,1,63,0.030460596084594727,62.0
16,classic,0,1,799,0.007685422897338867,62.0
16,learned_h32,32,1,64,0.026732683181762695,62.0
16,learned_h64,64,1,65,0.024189233779907227,64.0
16,learned_h128,128,1,63,0.02154231071472168,62.0
17,classic,0,1,860,0.0049190521240234375,62.0
17,learned_h32,32,1,64,0.02086806297302246,62.0
17,learned_h64,64,1,65,0.019840240478515625,64.0
17,learned_h128,128,1,64,0.019001245498657227,62.0
18,classic,0,1,856,0.003869771957397461,62.0
18,learned_h32,32,1,68,0.016596555709838867,62.0
18,learned_h64,64,1,71,0.023484468460083008,70.0
18,learned_h128,128,1,69,0.023420095443725586,62.0
19,classic,0,1,848,0.00484156608581543,62.0
19,learned_h32,32,1,65,0.024843931198120117,62.0
19,learned_h64,64,1,69,0.017158031463623047,68.0
19,learned_h128,128,1,66,0.029167890548706055,62.0
20,classic,0,1,799,0.006749868392944336,62.0
20,learned_h32,32,1,64,0.021492481231689453,62.0
20,learned_h64,64,1,80,0.020814180374145508,70.0
20,learned_h128,128,1,65,0.023303985595703125,64.0
21,classic,0,1,803,0.003517627716064453,62.0
21,learned_h32,32,1,65,0.019914627075195312,64.0
21,learned_h64,64,1,67,0.023564815521240234,66.0
21,learned_h128,128,1,66,0.030457258224487305,62.0
22,classic,0,1,877,0.007842540740966797,62.0
22,learned_h32,32,1,66,0.02308940887451172,62.0
22,learned_h64,64,1,71,0.0167849063873291,66.0
22,learned_h128,128,1,63,0.01569676399230957,62.0
23,classic,0,1,770,0.003190279006958008,62.0
23,learned_h32,32,1,67,0.018199443817138672,64.0
23,learned_h64,64,1,73,0.017545461654663086,68.0
23,learned_h128,128,1,63,0.014531373977661133,62.0
24,classic,0,1,805,0.0032470226287841797,62.0
24,learned_h32,32,1,65,0.013884305953979492,62.0
24,learned_h64,64,1,65,0.012256145477294922,64.0
24,learned_h128,128,1,63,0.01375889778137207,62.0
25,classic,0,1,819,0.0028276443481445312,62.0
25,learned_h32,32,1,64,0.02373218536376953,62.0
25,learned_h64,64,1,67,0.02440619468688965,66.0
25,learned_h128,128,1,63,0.014378547668457031,62.0
26,classic,0,1,815,0.0031976699829101562,62.0
26,learned_h32,32,1,66,0.01562976837158203,64.0
26,learned_h64,64,1,76,0.017050504684448242,66.0
26,learned_h128,128,1,67,0.014865636825561523,64.0
27,classic,0,1,883,0.003160715103149414,62.0
27,learned_h32,32,1,63,0.012638092041015625,62.0
27,learned_h64,64,1,75,0.013736248016357422,68.0
27,learned_h128,128,1,66,0.01633000373840332,62.0
28,classic,0,1,825,0.003882884979248047,62.0
28,learned_h32,32,1,65,0.019575119018554688,64.0
28,learned_h64,64,1,71,0.01949024200439453,66.0
28,learned_h128,128,1,68,0.018535375595092773,64.0
29,classic,0,1,773,0.0029206275939941406,62.0
29,learned_h32,32,1,65,0.0220334529876709,64.0
29,learned_h64,64,1,69,0.0298001766204834,68.0
29,learned_h128,128,1,67,0.029056787490844727,64.0
30,classic,0,1,837,0.005243062973022461,62.0
30,learned_h32,32,1,65,0.021148204803466797,64.0
30,learned_h64,64,1,78,0.019778013229370117,70.0
30,learned_h128,128,1,63,0.018494129180908203,62.0
31,classic,0,1,846,0.003627777099609375,62.0
31,learned_h32,32,1,63,0.014583587646484375,62.0
31,learned_h64,64,1,69,0.01670074462890625,66.0
31,learned_h128,128,1,63,0.016728639602661133,62.0
32,classic,0,1,838,0.0035262107849121094,62.0
32,learned_h32,32,1,67,0.015300989151000977,64.0
32,learned_h64,64,1,71,0.014971256256103516,68.0
32,learned_h128,128,1,65,0.01807856559753418,62.0
33,classic,0,1,868,0.003681659698486328,62.0
33,learned_h32,32,1,63,0.014424800872802734,62.0
33,learned_h64,64,1,68,0.012509584426879883,66.0
33,learned_h128,128,1,63,0.015455245971679688,62.0
34,classic,0,1,806,0.0030782222747802734,62.0
34,learned_h32,32,1,69,0.020531654357910156,62.0
34,learned_h64,64,1,70,0.01527261734008789,68.0
34,learned_h128,128,1,65,0.017409563064575195,62.0
35,classic,0,1,709,0.0033600330352783203,62.0
35,learned_h32,32,1,64,0.01509547233581543,62.0
35,learned_h64,64,1,70,0.01402592658996582,66.0
35,learned_h128,128,1,63,0.013910770416259766,62.0
36,classic,0,1,861,0.0029821395874023438,62.0
36,learned_h32,32,1,64,0.013256072998046875,62.0
36,learned_h64,64,1,65,0.011611461639404297,64.0
36,learned_h128,128,1,66,0.019277572631835938,62.0
37,classic,0,1,821,0.0032355785369873047,62.0
37,learned_h32,32,1,70,0.015207290649414062,64.0
37,learned_h64,64,1,70,0.01502370834350586,68.0
37,learned_h128,128,1,70,0.014468908309936523,62.0
38,classic,0,1,806,0.003970623016357422,62.0
38,learned_h32,32,1,64,0.01981830596923828,62.0
38,learned_h64,64,1,68,0.014726400375366211,64.0
38,learned_h128,128,1,66,0.018520832061767578,64.0
39,classic,0,1,866,0.003220796585083008,62.0
39,learned_h32,32,1,66,0.015062808990478516,62.0
39,learned_h64,64,1,67,0.02158331871032715,66.0
39,learned_h128,128,1,69,0.020470380783081055,62.0
40,classic,0,1,921,0.004531383514404297,62.0
40,learned_h32,32,1,65,0.017625093460083008,64.0
40,learned_h64,64,1,71,0.0160372257232666,68.0
40,learned_h128,128,1,64,0.016872406005859375,62.0
41,classic,0,1,890,0.00517582893371582,62.0
41,learned_h32,32,1,64,0.019405841827392578,62.0
41,learned_h64,64,1,67,0.0197298526763916,66.0
41,learned_h128,128,1,70,0.020739316940307617,64.0
42,classic,0,1,848,0.0052716732025146484,62.0
42,learned_h32,32,1,65,0.0210418701171875,62.0
42,learned_h64,64,1,80,0.028289794921875,72.0
42,learned_h128,128,1,79,0.027555227279663086,64.0
43,classic,0,1,787,0.005077838897705078,62.0
43,learned_h32,32,1,66,0.021528244018554688,62.0
43,learned_h64,64,1,78,0.021811485290527344,70.0
43,learned_h128,128,1,67,0.017789125442504883,62.0
44,classic,0,1,841,0.0032150745391845703,62.0
44,learned_h32,32,1,65,0.013982057571411133,62.0
44,learned_h64,64,1,64,0.014470100402832031,62.0
44,learned_h128,128,1,63,0.016843080520629883,62.0
45,classic,0,1,811,0.0036771297454833984,62.0
45,learned_h32,32,1,64,0.014105081558227539,62.0
45,learned_h64,64,1,72,0.013863563537597656,68.0
45,learned_h128,128,1,64,0.01574087142944336,62.0
46,classic,0,1,776,0.002734661102294922,62.0
46,learned_h32,32,1,65,0.014473915100097656,64.0
46,learned_h64,64,1,67,0.019151687622070312,66.0
46,learned_h128,128,1,67,0.014948844909667969,64.0
47,classic,0,0,3,1.3828277587890625e-05,inf
47,learned_h32,32,0,3,0.0003490447998046875,inf
47,learned_h64,64,0,3,0.0002837181091308594,inf
47,learned_h128,128,0,3,0.000270843505859375,inf
48,classic,0,1,830,0.002892732620239258,62.0
48,learned_h32,32,1,65,0.013575077056884766,64.0
48,learned_h64,64,1,67,0.014919281005859375,66.0
48,learned_h128,128,1,68,0.013504981994628906,66.0
49,classic,0,1,760,0.002595663070678711,62.0
49,learned_h32,32,1,65,0.013432025909423828,62.0
49,learned_h64,64,1,69,0.013758182525634766,68.0
49,learned_h128,128,1,72,0.014400005340576172,66.0
50,classic,0,1,840,0.0038309097290039062,62.0
50,learned_h32,32,1,66,0.01673412322998047,64.0
50,learned_h64,64,1,67,0.015404224395751953,66.0
50,learned_h128,128,1,66,0.013499259948730469,64.0
