run,method,success,expansions,path_cost
0,classic,1,733,62.0
0,learned,1,474,62.0
0,uncertainty,1,66,64.0
0,multiobj_risk_averse,0,862,inf
1,classic,1,735,62.0
1,learned,1,271,62.0
1,uncertainty,1,68,64.0
1,multiobj_risk_averse,1,46,42.0
2,classic,1,808,62.0
2,learned,1,315,62.0
2,uncertainty,1,72,68.0
2,multiobj_risk_averse,1,41,40.0
3,classic,1,711,62.0
3,learned,1,298,62.0
3,uncertainty,1,70,68.0
3,multiobj_risk_averse,1,46,40.0
4,classic,1,531,62.0
4,learned,1,269,62.0
4,uncertainty,1,72,66.0
4,multiobj_risk_averse,1,44,42.0
5,classic,1,634,62.0
5,learned,1,230,62.0
5,uncertainty,1,72,64.0
5,multiobj_risk_averse,0,847,inf
6,classic,1,683,62.0
6,learned,1,229,62.0
6,uncertainty,1,71,68.0
6,multiobj_risk_averse,0,843,inf
7,classic,1,689,62.0
7,learned,1,295,62.0
7,uncertainty,1,73,70.0
7,multiobj_risk_averse,1,49,42.0
8,classic,1,688,62.0
8,learned,1,252,62.0
8,uncertainty,1,67,66.0
8,multiobj_risk_averse,1,44,42.0
9,classic,1,587,62.0
9,learned,1,256,62.0
9,uncertainty,1,72,66.0
9,multiobj_risk_averse,1,41,40.0
10,classic,1,792,62.0
10,learned,1,259,62.0
10,uncertainty,1,80,70.0
10,multiobj_risk_averse,1,43,42.0
11,classic,1,688,62.0
11,learned,1,278,62.0
11,uncertainty,1,69,66.0
11,multiobj_risk_averse,1,42,40.0
12,classic,1,653,62.0
12,learned,1,226,62.0
12,uncertainty,1,68,66.0
12,multiobj_risk_averse,1,49,44.0
13,classic,1,597,62.0
13,learned,1,221,62.0
13,uncertainty,1,63,62.0
13,multiobj_risk_averse,1,46,42.0
14,classic,1,733,62.0
14,learned,1,577,64.0
14,uncertainty,1,74,68.0
14,multiobj_risk_averse,0,860,inf
15,classic,1,655,62.0
15,learned,1,255,62.0
15,uncertainty,1,63,62.0
15,multiobj_risk_averse,1,47,42.0
16,classic,1,711,62.0
16,learned,1,257,62.0
16,uncertainty,1,92,76.0
16,multiobj_risk_averse,1,41,40.0
17,classic,1,697,62.0
17,learned,1,288,62.0
17,uncertainty,1,65,62.0
17,multiobj_risk_averse,1,42,40.0
18,classic,1,731,62.0
18,learned,1,188,62.0
18,uncertainty,1,77,72.0
18,multiobj_risk_averse,0,877,inf
19,classic,1,706,62.0
19,learned,1,273,62.0
19,uncertainty,1,71,64.0
19,multiobj_risk_averse,1,44,40.0
20,classic,1,713,62.0
20,learned,1,285,62.0
20,uncertainty,1,66,62.0
20,multiobj_risk_averse,1,46,42.0
21,classic,1,730,62.0
21,learned,1,243,62.0
21,uncertainty,1,68,66.0
21,multiobj_risk_averse,1,45,42.0
22,classic,1,676,62.0
22,learned,1,198,62.0
22,uncertainty,1,75,68.0
22,multiobj_risk_averse,1,55,46.0
23,classic,1,723,62.0
23,learned,1,267,62.0
23,uncertainty,1,76,68.0
23,multiobj_risk_averse,1,41,40.0
24,classic,1,633,62.0
24,learned,1,259,62.0
24,uncertainty,1,74,64.0
24,multiobj_risk_averse,0,873,inf
25,classic,1,754,62.0
25,learned,1,283,62.0
25,uncertainty,1,66,64.0
25,multiobj_risk_averse,1,41,40.0
26,classic,1,628,62.0
26,learned,1,240,62.0
26,uncertainty,1,65,64.0
26,multiobj_risk_averse,1,62,48.0
27,classic,1,764,62.0
27,learned,1,334,62.0
27,uncertainty,1,75,68.0
27,multiobj_risk_averse,1,51,46.0
28,classic,1,772,62.0
28,learned,1,307,62.0
28,uncertainty,1,71,68.0
28,multiobj_risk_averse,1,46,42.0
29,classic,1,698,62.0
29,learned,1,255,62.0
29,uncertainty,1,74,64.0
29,multiobj_risk_averse,1,42,40.0
30,classic,0,837,inf
30,learned,0,837,inf
30,uncertainty,0,837,inf
30,multiobj_risk_averse,1,43,42.0
31,classic,1,636,62.0
31,learned,1,279,62.0
31,uncertainty,1,67,66.0
31,multiobj_risk_averse,1,48,40.0
32,classic,1,651,62.0
32,learned,1,247,62.0
32,uncertainty,1,118,72.0
32,multiobj_risk_averse,1,41,40.0
33,classic,1,781,62.0
33,learned,1,256,62.0
33,uncertainty,1,70,68.0
33,multiobj_risk_averse,0,877,inf
34,classic,1,792,62.0
34,learned,1,331,62.0
34,uncertainty,1,71,68.0
34,multiobj_risk_averse,1,43,42.0
35,classic,1,707,62.0
35,learned,1,267,62.0
35,uncertainty,1,69,64.0
35,multiobj_risk_averse,1,46,42.0
36,classic,1,655,62.0
36,learned,1,222,62.0
36,uncertainty,1,72,64.0
36,multiobj_risk_averse,1,41,40.0
37,classic,0,1,inf
37,learned,0,1,inf
37,uncertainty,0,1,inf
37,multiobj_risk_averse,0,1,inf
38,classic,1,743,62.0
38,learned,1,214,62.0
38,uncertainty,1,74,68.0
38,multiobj_risk_averse,1,43,42.0
39,classic,1,720,62.0
39,learned,1,309,62.0
39,uncertainty,1,74,68.0
39,multiobj_risk_averse,1,44,40.0
40,classic,1,672,62.0
40,learned,1,310,62.0
40,uncertainty,1,70,66.0
40,multiobj_risk_averse,0,846,inf
41,classic,1,684,62.0
41,learned,1,258,62.0
41,uncertainty,1,78,70.0
41,multiobj_risk_averse,1,42,40.0
42,classic,1,737,62.0
42,learned,1,252,62.0
42,uncertainty,1,79,64.0
42,multiobj_risk_averse,1,46,42.0
43,classic,0,4,inf
43,learned,0,4,inf
43,uncertainty,0,4,inf
43,multiobj_risk_averse,0,4,inf
44,classic,1,665,62.0
44,learned,1,216,62.0
44,uncertainty,1,66,62.0
44,multiobj_risk_averse,1,57,48.0
45,classic,1,710,62.0
45,learned,1,319,62.0
45,uncertainty,1,83,68.0
45,multiobj_risk_averse,1,51,48.0
46,classic,1,678,62.0
46,learned,1,279,62.0
46,uncertainty,1,68,66.0
46,multiobj_risk_averse,0,859,inf
47,classic,1,686,62.0
47,learned,1,216,62.0
47,uncertainty,1,66,64.0
47,multiobj_risk_averse,0,873,inf
48,classic,0,1,inf
48,learned,0,1,inf
48,uncertainty,0,1,inf
48,multiobj_risk_averse,0,1,inf
49,classic,0,844,inf
49,learned,0,844,inf
49,uncertainty,0,844,inf
49,multiobj_risk_averse,1,41,40.0
